feature_vector,video_path,label
[[0.1675175  0.63860476 0.13069394 ... 0.1553156  0.20935042 0.25340438]],some_videos_sample_clips/picking fruit/1gIVwBdd4nE/clip_0009.mp4,normal
[[0.15782245 0.21000364 0.07148918 ... 0.06574878 0.05657224 0.25025532]],some_videos_sample_clips/picking fruit/1gIVwBdd4nE/clip_0013.mp4,normal
[[0.1851319  0.5821107  0.26503646 ... 0.07032318 0.41908246 0.07360733]],some_videos_sample_clips/picking fruit/1gIVwBdd4nE/clip_0010.mp4,normal
[[0.12107538 0.4765849  0.23589467 ... 0.12509261 0.26641288 0.47097036]],some_videos_sample_clips/picking fruit/1gIVwBdd4nE/clip_0001.mp4,normal
[[0.2095639  0.38239193 0.19374143 ... 0.15109482 0.27254507 0.29052043]],some_videos_sample_clips/picking fruit/1gIVwBdd4nE/clip_0004.mp4,normal
[[0.11752164 0.24349718 0.15841    ... 0.0473911  0.18649195 0.24392553]],some_videos_sample_clips/picking fruit/1gIVwBdd4nE/clip_0016.mp4,normal
[[0.         0.32889223 0.23097812 ... 0.02901999 0.23226047 0.32175055]],some_videos_sample_clips/picking fruit/1gIVwBdd4nE/clip_0005.mp4,normal
[[0.13385622 0.22454643 0.         ... 0.02271111 0.20591064 0.28756127]],some_videos_sample_clips/picking fruit/1gIVwBdd4nE/clip_0008.mp4,normal
[[0.03532004 0.36097088 0.12410813 ... 0.11550105 0.22439794 0.2128551 ]],some_videos_sample_clips/picking fruit/1gIVwBdd4nE/clip_0007.mp4,normal
[[0.19990818 0.08431401 0.14537011 ... 0.1385541  0.23393784 0.44741622]],some_videos_sample_clips/picking fruit/PsTrykLjBY0/clip_0006.mp4,normal
[[0.1849778  0.20186746 0.07080378 ... 0.13818534 0.2731647  0.16180383]],some_videos_sample_clips/picking fruit/PsTrykLjBY0/clip_0002.mp4,normal
[[0.18991558 0.09950133 0.11321366 ... 0.14580846 0.51067513 0.12170304]],some_videos_sample_clips/picking fruit/PsTrykLjBY0/clip_0011.mp4,normal
[[0.3163903  0.19624071 0.15045245 ... 0.18683738 0.14566611 0.19185878]],some_videos_sample_clips/picking fruit/PsTrykLjBY0/clip_0012.mp4,normal
[[0.02504483 0.14855622 0.02699077 ... 0.21565436 0.21949092 0.4919179 ]],some_videos_sample_clips/picking fruit/PsTrykLjBY0/clip_0014.mp4,normal
[[0.05622394 0.09650669 0.15451346 ... 0.05278526 0.2632818  0.4668784 ]],some_videos_sample_clips/picking fruit/PsTrykLjBY0/clip_0003.mp4,normal
[[0.13814782 0.02910304 0.07578911 ... 0.04016074 0.13145661 0.13028896]],some_videos_sample_clips/picking fruit/PsTrykLjBY0/clip_0000.mp4,normal
[[0.13652924 0.13847518 0.19621502 ... 0.12783724 0.06803877 0.2712485 ]],some_videos_sample_clips/picking fruit/PsTrykLjBY0/clip_0009.mp4,normal
[[0.30281833 0.07852646 0.36819983 ... 0.18072484 0.24383278 0.0602955 ]],some_videos_sample_clips/picking fruit/PsTrykLjBY0/clip_0013.mp4,normal
[[0.17297016 0.03973187 0.29118848 ... 0.16919133 0.19652931 0.18137267]],some_videos_sample_clips/picking fruit/PsTrykLjBY0/clip_0010.mp4,normal
[[0.09215739 0.         0.10248025 ... 0.         0.07195141 0.03521901]],some_videos_sample_clips/picking fruit/PsTrykLjBY0/clip_0001.mp4,normal
[[0.24392395 0.31219468 0.16840275 ... 0.2466924  0.2885478  0.28846636]],some_videos_sample_clips/picking fruit/PsTrykLjBY0/clip_0004.mp4,normal
[[0.19261788 0.37001464 0.27566132 ... 0.2385085  0.19420812 0.43535343]],some_videos_sample_clips/picking fruit/PsTrykLjBY0/clip_0005.mp4,normal
[[0.11248147 0.09619439 0.28154    ... 0.22054115 0.3586475  0.14732102]],some_videos_sample_clips/picking fruit/PsTrykLjBY0/clip_0008.mp4,normal
[[0.10129698 0.31733572 0.11713319 ... 0.14849117 0.02391948 0.36119673]],some_videos_sample_clips/picking fruit/PsTrykLjBY0/clip_0007.mp4,normal
[[0.1272166  0.10909535 0.27653456 ... 0.19317512 0.01410252 0.37586623]],some_videos_sample_clips/picking fruit/9JR70i1bpiM/clip_0006.mp4,normal
[[0.02266914 0.18190424 0.30446947 ... 0.07465658 0.22472416 0.21808043]],some_videos_sample_clips/picking fruit/9JR70i1bpiM/clip_0002.mp4,normal
[[0.19091316 0.06787895 0.07732985 ... 0.2151907  0.03532481 0.25439882]],some_videos_sample_clips/picking fruit/9JR70i1bpiM/clip_0011.mp4,normal
[[0.2325561  0.131632   0.09323855 ... 0.00816597 0.37189063 0.2207748 ]],some_videos_sample_clips/picking fruit/9JR70i1bpiM/clip_0017.mp4,normal
[[0.         0.16543053 0.12550436 ... 0.17394596 0.06676626 0.20601062]],some_videos_sample_clips/picking fruit/9JR70i1bpiM/clip_0012.mp4,normal
[[0.0825655  0.21139227 0.19835104 ... 0.25263563 0.11263521 0.36071467]],some_videos_sample_clips/picking fruit/9JR70i1bpiM/clip_0014.mp4,normal
[[0.03774336 0.         0.         ... 0.19288878 0.16464877 0.2865019 ]],some_videos_sample_clips/picking fruit/9JR70i1bpiM/clip_0003.mp4,normal
[[0.2508552  0.09856509 0.12482438 ... 0.16402295 0.17850076 0.24509695]],some_videos_sample_clips/picking fruit/9JR70i1bpiM/clip_0000.mp4,normal
[[0.09383302 0.04900412 0.1282876  ... 0.25347283 0.12301288 0.33980545]],some_videos_sample_clips/picking fruit/9JR70i1bpiM/clip_0015.mp4,normal
[[0.3166344  0.18535642 0.12283679 ... 0.05122284 0.1208288  0.407914  ]],some_videos_sample_clips/picking fruit/9JR70i1bpiM/clip_0009.mp4,normal
[[0.11865231 0.17672804 0.15013814 ... 0.0383902  0.07513014 0.13694794]],some_videos_sample_clips/picking fruit/9JR70i1bpiM/clip_0013.mp4,normal
[[0.18104409 0.29269132 0.21638775 ... 0.19988577 0.12164711 0.33318216]],some_videos_sample_clips/picking fruit/9JR70i1bpiM/clip_0010.mp4,normal
[[0.26072708 0.20585142 0.37899825 ... 0.08043269 0.1361122  0.28257158]],some_videos_sample_clips/picking fruit/9JR70i1bpiM/clip_0001.mp4,normal
[[0.17408971 0.15176216 0.03399878 ... 0.06964836 0.28489384 0.3107891 ]],some_videos_sample_clips/picking fruit/9JR70i1bpiM/clip_0004.mp4,normal
[[0.10229745 0.25440732 0.         ... 0.07516716 0.40503502 0.06185091]],some_videos_sample_clips/picking fruit/9JR70i1bpiM/clip_0016.mp4,normal
[[0.01679625 0.17982656 0.24961482 ... 0.21282887 0.15589081 0.1598435 ]],some_videos_sample_clips/picking fruit/9JR70i1bpiM/clip_0005.mp4,normal
[[0.17631316 0.3226467  0.14049904 ... 0.06164539 0.14166868 0.        ]],some_videos_sample_clips/picking fruit/9JR70i1bpiM/clip_0008.mp4,normal
[[0.03296256 0.1126487  0.18034427 ... 0.16490535 0.12477767 0.39215082]],some_videos_sample_clips/picking fruit/9JR70i1bpiM/clip_0007.mp4,normal
[[0.05024369 0.06405468 0.3322702  ... 0.05528584 0.07675039 0.55380535]],some_videos_sample_clips/picking fruit/4rG0mZJofLo/clip_0006.mp4,normal
[[0.29225954 0.12137275 0.16476054 ... 0.2315837  0.14831497 0.2939754 ]],some_videos_sample_clips/picking fruit/4rG0mZJofLo/clip_0002.mp4,normal
[[0.28128585 0.22326072 0.17720422 ... 0.09479643 0.10672631 0.2348423 ]],some_videos_sample_clips/picking fruit/4rG0mZJofLo/clip_0011.mp4,normal
[[0.06402136 0.24483238 0.21871772 ... 0.12743066 0.0041216  0.08326342]],some_videos_sample_clips/picking fruit/4rG0mZJofLo/clip_0017.mp4,normal
[[0.21591821 0.24105191 0.07537104 ... 0.20271416 0.04700171 0.22786899]],some_videos_sample_clips/picking fruit/4rG0mZJofLo/clip_0012.mp4,normal
[[0.07353274 0.10936909 0.24205194 ... 0.17467423 0.05747775 0.44473162]],some_videos_sample_clips/picking fruit/4rG0mZJofLo/clip_0014.mp4,normal
[[0.11045165 0.12960003 0.32337043 ... 0.16142425 0.09681266 0.2090259 ]],some_videos_sample_clips/picking fruit/4rG0mZJofLo/clip_0003.mp4,normal
[[0.14662974 0.12565927 0.44478437 ... 0.08004644 0.08908925 0.39880633]],some_videos_sample_clips/picking fruit/4rG0mZJofLo/clip_0000.mp4,normal
[[0.37521118 0.23040497 0.18021528 ... 0.08076888 0.11664529 0.17079593]],some_videos_sample_clips/picking fruit/4rG0mZJofLo/clip_0015.mp4,normal
[[0.29747042 0.         0.13112299 ... 0.09654224 0.20086499 0.5241407 ]],some_videos_sample_clips/picking fruit/4rG0mZJofLo/clip_0009.mp4,normal
[[0.23432112 0.17942634 0.09722216 ... 0.20550735 0.05312065 0.20614462]],some_videos_sample_clips/picking fruit/4rG0mZJofLo/clip_0013.mp4,normal
[[0.12943344 0.3200923  0.07926588 ... 0.25772262 0.17495537 0.4407908 ]],some_videos_sample_clips/picking fruit/4rG0mZJofLo/clip_0010.mp4,normal
[[0.18898726 0.2539283  0.295897   ... 0.0949107  0.03419679 0.        ]],some_videos_sample_clips/picking fruit/4rG0mZJofLo/clip_0001.mp4,normal
[[0.16073346 0.17052245 0.36430356 ... 0.1776983  0.06856083 0.46182066]],some_videos_sample_clips/picking fruit/4rG0mZJofLo/clip_0004.mp4,normal
[[0.06140566 0.09137361 0.10173982 ... 0.1147745  0.08983555 0.06297239]],some_videos_sample_clips/picking fruit/4rG0mZJofLo/clip_0016.mp4,normal
[[0.11993853 0.12252265 0.30431578 ... 0.26964897 0.13685994 0.43572313]],some_videos_sample_clips/picking fruit/4rG0mZJofLo/clip_0005.mp4,normal
[[0.         0.13908458 0.09131362 ... 0.21164158 0.04740798 0.5645291 ]],some_videos_sample_clips/picking fruit/4rG0mZJofLo/clip_0008.mp4,normal
[[0.03032034 0.28325415 0.18398081 ... 0.12170949 0.19675234 0.5838216 ]],some_videos_sample_clips/picking fruit/4rG0mZJofLo/clip_0007.mp4,normal
[[0.25287753 0.05288634 0.         ... 0.07961714 0.2031343  0.2094158 ]],some_videos_sample_clips/picking fruit/mITkRygpcrE/clip_0006.mp4,normal
[[0.10903858 0.10725613 0.06652551 ... 0.11275917 0.05416019 0.16363059]],some_videos_sample_clips/picking fruit/mITkRygpcrE/clip_0002.mp4,normal
[[0.07268982 0.22571479 0.17500411 ... 0.04061976 0.10494898 0.09642003]],some_videos_sample_clips/picking fruit/mITkRygpcrE/clip_0011.mp4,normal
[[0.27733025 0.18828705 0.05227894 ... 0.04467947 0.10534654 0.09249346]],some_videos_sample_clips/picking fruit/mITkRygpcrE/clip_0012.mp4,normal
[[0.11484408 0.06375295 0.03029288 ... 0.0797096  0.09862886 0.21224287]],some_videos_sample_clips/picking fruit/mITkRygpcrE/clip_0014.mp4,normal
[[0.21309511 0.         0.02038222 ... 0.12705211 0.05132927 0.39451393]],some_videos_sample_clips/picking fruit/mITkRygpcrE/clip_0003.mp4,normal
[[0.23902798 0.08708911 0.06188683 ... 0.1526771  0.11171432 0.27577087]],some_videos_sample_clips/picking fruit/mITkRygpcrE/clip_0000.mp4,normal
[[0.09132396 0.         0.12732181 ... 0.08237314 0.15403095 0.21985309]],some_videos_sample_clips/picking fruit/mITkRygpcrE/clip_0009.mp4,normal
[[0.12740797 0.13381013 0.06012064 ... 0.09240928 0.10270102 0.13404533]],some_videos_sample_clips/picking fruit/mITkRygpcrE/clip_0013.mp4,normal
[[0.09496655 0.12914626 0.19416824 ... 0.06141739 0.17859854 0.24905406]],some_videos_sample_clips/picking fruit/mITkRygpcrE/clip_0010.mp4,normal
[[0.22464977 0.1056807  0.         ... 0.09865995 0.16290615 0.1935973 ]],some_videos_sample_clips/picking fruit/mITkRygpcrE/clip_0001.mp4,normal
[[0.04902974 0.14662178 0.01922737 ... 0.23792353 0.17276318 0.3401981 ]],some_videos_sample_clips/picking fruit/mITkRygpcrE/clip_0004.mp4,normal
[[0.16927294 0.09028082 0.1535523  ... 0.4318594  0.         0.19385646]],some_videos_sample_clips/picking fruit/mITkRygpcrE/clip_0005.mp4,normal
[[0.2977625  0.15563901 0.05556301 ... 0.12880664 0.17024978 0.21509822]],some_videos_sample_clips/picking fruit/mITkRygpcrE/clip_0008.mp4,normal
[[0.20140056 0.08563322 0.03343332 ... 0.08766484 0.22295395 0.22533178]],some_videos_sample_clips/picking fruit/mITkRygpcrE/clip_0007.mp4,normal
[[0.07295515 0.14316659 0.28893855 ... 0.10187063 0.15090504 0.3727692 ]],some_videos_sample_clips/picking fruit/hPwjSmAoBEY/clip_0006.mp4,normal
[[0.18501866 0.2164624  0.12522595 ... 0.06543869 0.03246502 0.43044415]],some_videos_sample_clips/picking fruit/hPwjSmAoBEY/clip_0002.mp4,normal
[[0.10885932 0.29036328 0.15914889 ... 0.31675193 0.01897584 0.18047045]],some_videos_sample_clips/picking fruit/hPwjSmAoBEY/clip_0011.mp4,normal
[[0.12810259 0.13127582 0.22893213 ... 0.23373464 0.09833547 0.44431138]],some_videos_sample_clips/picking fruit/hPwjSmAoBEY/clip_0017.mp4,normal
[[0.10086802 0.07054467 0.3247839  ... 0.21129172 0.08238014 0.7366    ]],some_videos_sample_clips/picking fruit/hPwjSmAoBEY/clip_0012.mp4,normal
[[0.09480579 0.12802325 0.24582987 ... 0.15411052 0.1292295  0.39557275]],some_videos_sample_clips/picking fruit/hPwjSmAoBEY/clip_0014.mp4,normal
[[0.25887844 0.2131793  0.14559248 ... 0.20030275 0.16966619 0.5199855 ]],some_videos_sample_clips/picking fruit/hPwjSmAoBEY/clip_0003.mp4,normal
[[0.21171887 0.18770996 0.14198186 ... 0.06826122 0.05582371 0.34561035]],some_videos_sample_clips/picking fruit/hPwjSmAoBEY/clip_0000.mp4,normal
[[0.12193569 0.1448919  0.14128835 ... 0.27100697 0.         0.20799215]],some_videos_sample_clips/picking fruit/hPwjSmAoBEY/clip_0015.mp4,normal
[[0.12914102 0.26817882 0.16935968 ... 0.12066817 0.         0.45532987]],some_videos_sample_clips/picking fruit/hPwjSmAoBEY/clip_0009.mp4,normal
[[0.22431791 0.13980973 0.24243322 ... 0.0509095  0.12365567 0.24627745]],some_videos_sample_clips/picking fruit/hPwjSmAoBEY/clip_0013.mp4,normal
[[0.11999033 0.19659935 0.21800132 ... 0.06282309 0.10619686 0.33199498]],some_videos_sample_clips/picking fruit/hPwjSmAoBEY/clip_0010.mp4,normal
[[0.1748245  0.11438016 0.26810774 ... 0.14630759 0.17960255 0.06499885]],some_videos_sample_clips/picking fruit/hPwjSmAoBEY/clip_0001.mp4,normal
[[0.22250986 0.13363071 0.2692814  ... 0.10009229 0.0403352  0.25577703]],some_videos_sample_clips/picking fruit/hPwjSmAoBEY/clip_0004.mp4,normal
[[0.06429008 0.17869377 0.25344825 ... 0.05998537 0.09457891 0.0445132 ]],some_videos_sample_clips/picking fruit/hPwjSmAoBEY/clip_0016.mp4,normal
[[0.09554127 0.14703208 0.14841829 ... 0.19045779 0.20590453 0.05796949]],some_videos_sample_clips/picking fruit/hPwjSmAoBEY/clip_0005.mp4,normal
[[0.11387476 0.12245619 0.09331545 ... 0.05842283 0.12806909 0.        ]],some_videos_sample_clips/picking fruit/hPwjSmAoBEY/clip_0008.mp4,normal
[[0.16211466 0.17299877 0.3115104  ... 0.22447768 0.12626801 0.39419103]],some_videos_sample_clips/picking fruit/hPwjSmAoBEY/clip_0007.mp4,normal
[[0.38941112 0.2058426  0.24142566 ... 0.09777076 0.10012384 0.27111313]],some_videos_sample_clips/picking fruit/_OXBD0qzT7M/clip_0006.mp4,normal
[[0.13474454 0.09274127 0.18074486 ... 0.04126274 0.140362   0.        ]],some_videos_sample_clips/picking fruit/_OXBD0qzT7M/clip_0002.mp4,normal
[[0.1196933  0.21439795 0.23141931 ... 0.18669815 0.06357283 0.15199082]],some_videos_sample_clips/picking fruit/_OXBD0qzT7M/clip_0011.mp4,normal
[[0.34507403 0.1948545  0.         ... 0.05873412 0.14798506 0.31967562]],some_videos_sample_clips/picking fruit/_OXBD0qzT7M/clip_0017.mp4,normal
[[0.22441207 0.07890989 0.04608229 ... 0.11657288 0.08234786 0.13102733]],some_videos_sample_clips/picking fruit/_OXBD0qzT7M/clip_0012.mp4,normal
[[0.16238703 0.26127768 0.25585428 ... 0.16782781 0.13925833 0.24493213]],some_videos_sample_clips/picking fruit/_OXBD0qzT7M/clip_0014.mp4,normal
[[0.21597748 0.20150147 0.13197224 ... 0.04192947 0.08157472 0.18854916]],some_videos_sample_clips/picking fruit/_OXBD0qzT7M/clip_0003.mp4,normal
[[0.6586347  0.07002264 0.08123752 ... 0.16050003 0.05234974 0.136522  ]],some_videos_sample_clips/picking fruit/_OXBD0qzT7M/clip_0000.mp4,normal
[[0.36493766 0.10651121 0.08517947 ... 0.16911772 0.02080116 0.20941582]],some_videos_sample_clips/picking fruit/_OXBD0qzT7M/clip_0015.mp4,normal
[[0.01135228 0.06665949 0.10293054 ... 0.12954785 0.02212376 0.29972726]],some_videos_sample_clips/picking fruit/_OXBD0qzT7M/clip_0009.mp4,normal
[[0.2812274  0.07741986 0.14761847 ... 0.05404088 0.10430186 0.3656361 ]],some_videos_sample_clips/picking fruit/_OXBD0qzT7M/clip_0013.mp4,normal
[[0.20271413 0.0781793  0.07246323 ... 0.17656055 0.03618574 0.3049259 ]],some_videos_sample_clips/picking fruit/_OXBD0qzT7M/clip_0010.mp4,normal
[[0.4274524  0.23601253 0.2019141  ... 0.20735228 0.07770174 0.09124427]],some_videos_sample_clips/picking fruit/_OXBD0qzT7M/clip_0001.mp4,normal
[[0.12136612 0.04465713 0.18097964 ... 0.06558465 0.14408197 0.28761765]],some_videos_sample_clips/picking fruit/_OXBD0qzT7M/clip_0004.mp4,normal
[[0.09197266 0.0613772  0.05608578 ... 0.1593931  0.2309215  0.42140046]],some_videos_sample_clips/picking fruit/_OXBD0qzT7M/clip_0016.mp4,normal
[[0.16350685 0.10454865 0.21522048 ... 0.06481073 0.13263617 0.22625831]],some_videos_sample_clips/picking fruit/_OXBD0qzT7M/clip_0005.mp4,normal
[[0.09323768 0.13344158 0.14183705 ... 0.08015831 0.0724232  0.16920154]],some_videos_sample_clips/picking fruit/_OXBD0qzT7M/clip_0008.mp4,normal
[[0.18810546 0.09681769 0.22451125 ... 0.06678911 0.17519407 0.2817398 ]],some_videos_sample_clips/picking fruit/_OXBD0qzT7M/clip_0007.mp4,normal
[[0.11082584 0.19259126 0.15894298 ... 0.18977538 0.5773038  0.5260708 ]],some_videos_sample_clips/picking fruit/fSxQRDrvUSs/clip_0006.mp4,normal
[[0.22277914 0.23341584 0.09276497 ... 0.20413552 0.1583577  0.10414506]],some_videos_sample_clips/picking fruit/fSxQRDrvUSs/clip_0002.mp4,normal
[[0.35827765 0.22225915 0.         ... 0.07147657 0.1430551  0.20096266]],some_videos_sample_clips/picking fruit/fSxQRDrvUSs/clip_0011.mp4,normal
[[0.10386016 0.09211095 0.09905394 ... 0.13623919 0.07997074 0.26723897]],some_videos_sample_clips/picking fruit/fSxQRDrvUSs/clip_0017.mp4,normal
[[0.14246903 0.14009295 0.12407507 ... 0.19232707 0.21960929 0.        ]],some_videos_sample_clips/picking fruit/fSxQRDrvUSs/clip_0012.mp4,normal
[[0.03010258 0.06467903 0.06790636 ... 0.16408193 0.7221321  0.35730618]],some_videos_sample_clips/picking fruit/fSxQRDrvUSs/clip_0014.mp4,normal
[[0.13721786 0.07300301 0.14272283 ... 0.20863254 0.1230723  0.        ]],some_videos_sample_clips/picking fruit/fSxQRDrvUSs/clip_0003.mp4,normal
[[0.12295856 0.15837233 0.11276888 ... 0.15279026 0.19647841 0.45149294]],some_videos_sample_clips/picking fruit/fSxQRDrvUSs/clip_0000.mp4,normal
[[0.27932128 0.08078773 0.         ... 0.06746458 0.7344971  0.3053235 ]],some_videos_sample_clips/picking fruit/fSxQRDrvUSs/clip_0015.mp4,normal
[[0.24311768 0.131006   0.16537087 ... 0.10151627 0.15402398 0.54738045]],some_videos_sample_clips/picking fruit/fSxQRDrvUSs/clip_0009.mp4,normal
[[0.1982206  0.203227   0.05001879 ... 0.12600465 0.41773817 0.2657511 ]],some_videos_sample_clips/picking fruit/fSxQRDrvUSs/clip_0013.mp4,normal
